_date,total_clones,unique_clones
2021-05-25,40,23
2021-05-26,3,3
2021-05-27,8,5
2021-05-28,3,1
2021-06-01,5,3
2021-06-03,1,1
2021-06-05,1,1
2021-06-29,19,6
2021-06-30,14,5
2021-07-01,1,1
2021-07-13,7,4
2021-07-18,1,1
2021-07-19,2,2
2021-07-22,2,2
2021-07-26,2,2
2021-08-02,2,2
2021-08-03,1,1
2021-08-07,3,2
2021-08-08,1,1
2021-08-09,4,4
2021-08-10,1,1
2021-08-15,1,1
2021-08-16,1,1
2021-08-23,1,1
2021-08-24,1,1
2021-08-25,1,1
2021-08-27,1,1
2021-08-30,2,2
2021-09-06,1,1
2021-09-07,1,1
2021-09-11,1,1
2021-09-13,3,3
2021-09-20,1,1
2021-09-21,4,3
2021-09-22,1,1
2021-09-27,2,2
2021-09-28,1,1
2021-10-04,1,1
2021-10-05,2,2
2021-10-09,1,1
2021-10-11,2,2
2021-10-16,1,1
2021-10-18,4,3
2021-10-21,1,1
2021-10-22,9,1
2021-10-23,3,1
2021-10-24,7,2
2021-10-25,24,9
2021-10-29,2,2
2021-11-01,4,3
2021-11-02,2,1
2021-11-08,1,1
2021-11-09,9,5
2021-11-15,3,2
2021-11-19,1,1
2021-11-22,3,2
2021-11-24,3,2
2021-11-26,1,1
2021-11-29,1,1
2021-12-05,1,1
2021-12-06,2,2
2021-12-13,1,1
2021-12-14,1,1
2021-12-20,1,1
2021-12-22,1,1
2021-12-27,2,2
2021-12-28,1,1
2021-12-29,7,4
2022-01-01,2,1
2022-01-02,1,1
2022-01-03,2,1
2022-01-10,2,2
2022-01-11,2,1
2022-01-14,2,1
2022-01-16,1,1
2022-01-17,1,1
2022-01-24,3,2
2022-01-26,1,1
2022-01-31,1,1
2022-02-02,2,1
2022-02-07,1,1
2022-02-13,2,1
2022-02-14,1,1
2022-02-16,2,1
2022-02-21,1,1
2022-02-28,8,1
2022-03-07,2,2
2022-03-10,2,1
2022-03-12,8,5
2022-03-14,4,3
2022-03-16,3,2
2022-03-19,1,1
2022-03-21,1,1
2022-03-28,1,1
2022-04-04,3,2
2022-04-09,1,1
2022-04-11,1,1
2022-04-18,3,2
2022-04-25,5,4
2022-05-02,4,3
2022-05-03,1,1
2022-05-09,4,3
2022-05-10,5,2
2022-05-11,6,2
2022-05-12,1,1
2022-05-16,4,3
2022-05-18,1,1
2022-05-21,2,1
2022-05-23,1,1
2022-05-24,1,1
2022-05-30,1,1
2022-06-02,2,1
2022-06-06,3,2
2022-06-13,4,3
2022-06-20,1,1
2022-06-26,2,1
2022-06-27,1,1
2022-07-04,4,3
2022-07-05,2,1
2022-07-10,1,1
2022-07-11,4,3
2022-07-13,2,1
2022-07-18,4,3
2022-07-22,2,1
2022-07-25,1,1
2022-07-31,2,1
2022-08-01,1,1
2022-08-02,1,1
2022-08-08,1,1
2022-08-09,2,1
2022-08-15,1,1
2022-08-19,2,1
2022-08-22,1,1
2022-08-29,2,2
2022-08-30,2,1
2022-09-05,1,1
2022-09-12,1,1
2022-09-13,2,1
2022-09-19,1,1
2022-09-24,1,1
2022-09-25,1,1
2022-09-26,1,1
2022-09-28,1,1
2022-10-03,1,1
2022-10-04,1,1
2022-10-07,2,1
2022-10-10,4,3
2022-10-14,1,1
2022-10-16,1,1
2022-10-17,1,1
2022-10-21,1,1
2022-10-22,1,1
2022-10-24,1,1
2022-10-25,1,1
2022-10-28,1,1
2022-10-31,1,1
2022-11-01,1,1
2022-11-05,1,1
2022-11-07,2,2
2022-11-11,1,1
2022-11-12,2,1
2022-11-14,1,1
2022-11-17,2,2
2022-11-18,1,1
2022-11-21,5,3
2022-11-25,1,1
2022-11-28,3,2
2022-11-30,2,2
2022-12-01,1,1
2022-12-02,1,1
2022-12-05,3,2
2022-12-07,2,1
2022-12-08,1,1
2022-12-09,1,1
2022-12-11,2,1
2022-12-12,2,1
2022-12-13,1,1
2022-12-16,1,1
2022-12-19,1,1
2022-12-24,1,1
2022-12-26,5,4
2023-01-01,1,1
2023-01-02,4,3
2023-01-03,8,4
2023-01-04,5,3
2023-01-07,1,1
2023-01-08,2,2
2023-01-09,4,3
2023-01-10,1,1
2023-01-11,1,1
2023-01-15,1,1
2023-01-16,1,1
2023-01-22,1,1
2023-01-23,1,1
2023-01-29,1,1
2023-01-30,3,2
2023-02-01,2,2
2023-02-05,1,1
2023-02-06,1,1
2023-02-12,1,1
2023-02-13,1,1
2023-02-15,1,1
2023-02-20,1,1
2023-02-21,1,1
2023-02-24,2,1
2023-02-25,2,2
2023-02-27,4,3
2023-02-28,1,1
2023-03-01,1,1
2023-03-02,3,2
2023-03-04,1,1
2023-03-06,4,3
2023-03-08,1,1
2023-03-09,1,1
2023-03-11,1,1
2023-03-12,1,1
2023-03-13,1,1
2023-03-19,2,2
2023-03-20,1,1
2023-03-27,1,1
2023-04-03,2,2
2023-04-08,1,1
2023-04-10,1,1
2023-04-11,1,1
2023-04-15,1,1
2023-04-17,3,2
2023-04-24,3,3
2023-04-30,1,1
2023-05-01,6,4
2023-05-02,1,1
2023-05-04,1,1
2023-05-08,7,5
2023-05-14,1,1
2023-05-15,1,1
2023-05-20,2,1
2023-05-21,2,1
2023-05-22,1,1
2023-05-27,1,1
2023-05-29,5,3
2023-06-01,2,2
2023-06-05,1,1
2023-06-12,6,4
2023-06-19,3,3
2023-06-21,2,1
2023-06-26,1,1
2023-06-29,1,1
2023-06-30,1,1
2023-07-03,1,1
2023-07-10,3,3
2023-07-13,1,1
2023-07-17,1,1
2023-07-24,4,3
2023-07-28,3,2
2023-07-31,4,3
2023-08-04,1,1
2023-08-05,2,2
2023-08-06,1,1
2023-08-07,4,3
2023-08-13,1,1
2023-08-14,4,3
2023-08-16,2,1
2023-08-21,4,3
2023-08-23,1,1
2023-08-28,1,1
2023-08-29,2,2
2023-09-03,1,1
2023-09-04,2,2
2023-09-06,1,1
2023-09-11,4,4
2023-09-13,1,1
2023-09-16,2,2
2023-09-18,1,1
2023-09-19,1,1
2023-09-20,1,1
2023-09-25,3,3
2023-09-27,1,1
2023-10-02,4,3
2023-10-05,1,1
2023-10-08,1,1
2023-10-09,5,4
2023-10-16,4,3
2023-10-17,1,1
2023-10-23,5,5
2023-10-26,2,2
2023-10-30,1,1
2023-11-05,2,2
2023-11-06,2,2
2023-11-08,1,1
2023-11-13,4,4
2023-11-19,1,1
2023-11-20,4,4
2023-11-22,1,1
2023-11-25,1,1
2023-11-26,1,1
2023-11-27,5,5
2023-12-03,2,2
2023-12-04,4,4
2023-12-07,1,1
2023-12-08,1,1
2023-12-09,1,1
2023-12-10,2,2
2023-12-11,5,5
2023-12-13,2,1
2023-12-14,1,1
2023-12-17,2,2
2023-12-18,3,3
2023-12-20,1,1
2023-12-21,1,1
2023-12-24,1,1
2023-12-25,7,6
2023-12-27,2,1
2023-12-31,1,1
2024-01-01,9,8
2024-01-03,1,1
2024-01-07,1,1
2024-01-08,4,4
2024-01-11,3,3
2024-01-13,1,1
2024-01-14,1,1
2024-01-15,3,3
2024-01-16,1,1
2024-01-17,2,2
2024-01-18,1,1
2024-01-21,1,1
2024-01-22,7,6
2024-01-28,1,1
2024-01-29,5,5
2024-01-30,1,1
2024-02-04,2,2
2024-02-05,5,5
2024-02-11,1,1
2024-02-12,5,5
2024-02-18,1,1
2024-02-19,5,5
2024-02-24,1,1
2024-02-25,2,2
2024-02-26,4,4
2024-03-03,2,2
2024-03-04,4,4
2024-03-08,1,1
2024-03-10,1,1
2024-03-11,5,5
2024-03-12,1,1
2024-03-17,1,1
2024-03-18,3,3
2024-03-24,1,1
2024-03-25,4,4
2024-03-28,1,1
2024-03-31,2,2
2024-04-01,1,1
2024-04-07,2,2
2024-04-08,3,3
2024-04-15,3,3
2024-04-17,1,1
2024-04-21,1,1
2024-04-22,3,3
2024-04-25,1,1
2024-04-28,2,2
2024-04-29,5,4
2024-04-30,1,1
2024-05-05,2,2
2024-05-06,3,3
2024-05-12,2,2
2024-05-13,2,2
2024-05-19,3,3
2024-05-20,3,2
2024-05-26,2,2
2024-05-27,2,2
2024-06-02,2,2
2024-06-03,3,3
2024-06-09,2,2
2024-06-10,2,2
2024-06-13,1,1
2024-06-14,1,1
2024-06-16,1,1
2024-06-17,2,2
2024-06-23,1,1
2024-06-24,2,2
2024-06-30,1,1
2024-07-01,3,2
2024-07-07,2,2
2024-07-14,2,2
2024-07-16,1,1
2024-07-17,1,1
2024-07-21,4,2
2024-07-22,2,1
2024-07-27,6,1
2024-07-28,1,1
2024-07-29,1,1
2024-07-30,10,2
2024-07-31,3,1
2024-08-01,2,1
2024-08-02,7,3
2024-08-03,3,1
2024-08-05,15,6
2024-08-06,3,2
2024-08-09,2,2
2024-08-11,2,2
2024-08-12,1,1
2024-08-14,1,1
2024-08-15,1,1
2024-08-16,1,1
2024-08-17,1,1
2024-08-18,3,3
2024-08-19,2,2
2024-08-20,1,1
2024-08-23,1,1
2024-08-25,2,2
2024-08-26,3,2
2024-08-28,1,1
2024-08-29,1,1
2024-09-01,1,1
2024-09-02,4,4
2024-09-06,1,1
2024-09-08,3,3
2024-09-11,1,1
2024-09-12,1,1
2024-09-14,1,1
2024-09-15,2,2
2024-09-16,3,3
2024-09-19,2,2
2024-09-20,2,2
2024-09-21,1,1
2024-09-22,2,2
2024-09-24,2,2
2024-09-27,9,1
2024-09-28,1,1
2024-09-29,2,2
2024-09-30,2,1
2024-10-03,1,1
2024-10-04,2,2
2024-10-06,1,1
2024-10-07,11,5
2024-10-10,1,1
2024-10-13,1,1
2024-10-16,1,1
2024-10-20,2,2
2024-10-21,3,3
2024-10-27,1,1
2024-11-01,1,1
2024-11-03,5,3
2024-11-04,1,1
2024-11-06,1,1
2024-11-10,1,1
2024-11-11,2,2
